CAN_ABO,char,3,$ABO,Patient/s Blood Type,phys
CAN_ACADEMIC_LEVEL,num,8,ACDMACTV,Academic Activity Level:,personal
CAN_ACADEMIC_PROGRESS,num,8,ACDMPRG,Academic Progress:,personal
CAN_ACPT_A2_DON,char,1,YNCHAR,Accept A2 donor?,match
CAN_ACPT_ABO_INCOMP,char,1,YNCHAR,Accept an incompatible blood type?,match
CAN_ACPT_EXTRACORP_LI,char,1,YNCHAR,Accept an Extra-corporeal Liver?,match
CAN_ACPT_HBC_POS,char,1,YNCHAR,Accept an Hepatitis B Core Antibody Positive Donor?,match
CAN_ACPT_HCV_POS,char,1,YNCHAR,Accept an HCV Antibody Positive Donor?,match
CAN_ACPT_LI_SEG,char,1,YNCHAR,Accept LI segment,match
CAN_ACPT_ORG_OTHER_TEAM,char,1,YNCHAR,Accept Intestine if Intestine removed by another procurement team?,match
CAN_ACPT_PROCUR_KI,char,1,YNCHAR,Accept Intestine if Kidney procured?,match
CAN_ACPT_PROCUR_LI,char,1,YNCHAR,Accept Intestine if Liver procured?,match
CAN_ACPT_PROCUR_PA,char,1,YNCHAR,Accept Intestine if Pancreas procured?,match
CAN_ACTIVATE_DT,num,8,MMDDYY,Activation Date - date/time waiting time clock started,stat
CAN_AGE_AT_LISTING,num,8,AGE9A,Calculated Candidate Age at Listing,phys
CAN_AGE_IN_MONTHS_AT_LISTING,num,8,,Calculated Candidate Age in Months at Listing,phys
CAN_ANASTOMOSIS,num,3,YNNUM,Was anastomosis initiated?,tx
CAN_ANESTH_PRIOR_DEATH,num,3,YNNUM,Did the patient go to the operating room and receive anesthesia for transplant prior to death?,stat
CAN_ANGINA,num,8,ANGINA,Angina/Coronary Artery Disease,hist
CAN_ANGINA_CAD,num,8,ANGNACAD,Angina:,hist
CAN_ARTIFICIAL_LI,num,3,YNNUM,Life Support://Artifical Liver,phys
CAN_ASCITES,char,1,YNCHAR,Ascites (from liver disease ),hist
CAN_BACTERIA_PERIT,char,1,YNCHAR,Spontaneous Bacterial Peritonitis (ascitis infection),hist
CAN_BMI,num,8,,BMI:,phys
CAN_CEREB_VASC,char,1,YNCHAR,Symptomatic Cerebrovascular Disease,hist
CAN_CITIZENSHIP,num,8,CTZNLDTC,Patient/s Citizenship,personal
CAN_COGNITIVE_DEVELOP,num,8,COGDEV,Cognitive Development (Ped Only),hist
CAN_CTP_SCORE,num,8,,Candidate/s CTP score (used for MAOB Liver Variance,match
CAN_DEATH_DT,num,8,MMDDYY,"If removed due to Death, date of death",stat
CAN_DGN,num,8,DGN,Primary Diagnosis,phys
CAN_DGN2,num,8,DGN,Secondary Diagnosis,phys
CAN_DGN_OSTXT,char,50,,Primary Diagnosis/Specify,phys
CAN_DIAB,num,8,DBINSLDP,Diabetes,hist
