DONOR_ID,num,8,,Encrypted Unique Donor ID (all donors) - foreign key,1
DON_A1,num,8,ALOCUS,Donor/s HLA - A (1) antigen,1
DON_A2,num,8,ALOCUS,Donor/s HLA - A (2) antigen,1
DON_ABNORM_CONGEN,char,1,,Structural Abnormalities //Congenital:,1
DON_ABNORM_LVH,char,1,,Structural Abnormalities //LVH:,1
DON_ABNORM_VALVES,char,1,,Structural Abnormalities //Valves:,1
DON_ABO,char,3,$ABO,Donor/s Blood Type,1
DON_AGE,num,8,,Calculated Donor Age in Years at Organ Recovery or Referral Date,1
DON_AGE_IN_MONTHS,num,8,,Donor/s Age in Months,1
DON_ALLOC_ECD_CVA,num,3,,CVA cause of death,1
DON_ALLOC_ECD_HYPERTEN,num,3,,history of hypertension,1
DON_ALLOC_ECD_SERUM_CREAT,num,8,,most recent serum_creat,1
DON_ALLOC_ECD_SERUM_CREAT_DT,num,8,MMDDYY,most recent serum_creat date,1
DON_ALLOC_REMAIN_LI_SEG,char,1,,Allocate Remaining Liver Segment?,1
DON_ANTI_CMV,char,2,$SRLSTT,Anti-CMV,1
DON_ANTI_CONVULS,char,1,,Meds given Donor: Anticonvulsants,1
DON_ANTI_HBC,char,2,$SRLSTT,Anti-HBC,1
DON_ANTI_HCV,char,2,$SRLSTT,Anti-HCV,1
DON_ANTI_HIV,char,2,$SRLSTT,Anti-HIV I/II:,1
DON_ANTI_HTLV,char,2,$SRLSTT,Anti-HTLV I/II:,1
DON_ANTI_HYPERTEN,char,1,,Meds given Donor: Antihypertensives,1
DON_ARGININE,char,1,,Arginine Vasopressin:,1
DON_B1,num,8,BLOCUS,Donor/s HLA - B (1) antigen,1
DON_B2,num,8,BLOCUS,Donor/s HLA - B (2) antigen,1
DON_BIOPSY_DGN,num,8,BPMYCR,Biopsy,2
DON_BRAIN_DEATH_TM,num,8,TIME,Time of pronouncement of death: (Complete for brain dead and DCD donors),2
DON_BUN,num,8,,BUN,2
DON_BW4,num,8,WKGRPHLA,Donor/s HLA - Bw4 locus,2
DON_BW6,num,8,WKGRPHLA,Donor/s HLA - Bw6 locus,2
DON_C1,num,8,CWHLA,Donor/s HLA - Cw (1) locus,2
DON_C2,num,8,CWHLA,Donor/s HLA - Cw (2) locus,2
