CANHX_AGE_GROUP,char,1,,Age Group (A - adult P - pediatric)
CANHX_ALBUMIN,num,8,,albumin (used for MELD)
CANHX_ALBUMIN_DT,num,8,MMDDYY,Albumin (used for MELD) - Date
CANHX_ASCITES,num,8,,ascites (used for MELD)
CANHX_ASCITES_DT,num,8,MMDDYY,Ascites (used for MELD) - Date
CANHX_BILI,num,8,,bilirubin (used for MELD)
CANHX_BILI_DT,num,8,MMDDYY,Bilirubin (used for MELD) - Date
CANHX_CHG_DT,num,8,MMDDYY,Status Change Date
CANHX_CRIT_NOT_MET,num,3,,Criteria Not Met?
CANHX_CTP_SCORE,num,8,,CTP Score
CANHX_DGN,char,55,,Diagnosis
CANHX_ENCEPH,num,8,,encephalopathy (used for MELD)
CANHX_ENCEPH_DT,num,8,MMDDYY,Encephalopathy (used for MELD) - Date
CANHX_ENCEPH_UNRESPON,num,3,,Stage III or IV encephalopathy unresponsive to medical therapy?
CANHX_FORM_STAT,num,8,STJSFRST,Status JustificationForm Status
CANHX_HEPREN,num,3,,Hepatorenal syndrome?
CANHX_HOSP_LOC_UNIT,char,40,,"If not it TXC critical care unit, hospital location and care unit"
CANHX_INIT_FORM,num,3,,Is this the initial form?
CANHX_INR,num,8,,International Normalized Ratio (how fast the patients blood clots relative to the control)(used for MELD)
CANHX_INR_DT,num,8,MMDDYY,test date of INR (used for MELD)
CANHX_LIFE_EXPECT_LT7DAYS,num,3,,Does the patient have a life expectancy without a liver transplant of <7 days
CANHX_OTHER_DISEASE,num,8,,"Bilirubin (mg/dl) - For primary biliary cirrhosis, primary Sclerosing cholangitis, or other Cholestatic liver diseases - Value"
CANHX_OTHER_DISEASE_DT,num,8,MMDDYY,"Bilirubin (mg/dl) - For primary biliary cirrhosis, primary Sclerosing cholangitis, or other Cholestatic liver diseases - Date"
CANHX_PROTHROM,num,8,,Prothrombin time (secs. Prolonged) over control - Value
CANHX_PROTHROM_DT,num,8,MMDDYY,Prothrombin time (secs. Prolonged) over control - Date
CANHX_PX_TX_CTR,num,3,,Is the patient currently located in the transplant center critical care unit?
CANHX_RAHH,num,3,,Refractory Ascites/Hepato-Hydrothorax?
CANHX_STAT_CD,num,8,CANDSTAT,Candidate/s current Medical Urgency Status
CANHX_STAT_TY,num,8,STTJSTTY,Type of Status Justification Form
CANHX_UNRESPON,num,3,,Documented unresponsive active variceal hemorrhage or gastro-intestinal bleeding requiring transfusion of at least 10 cc/kg of red blood cells?
CANHX_URINE_OSMOL,num,3,,Hepatorenal syndrome - Urine osmolality > Plasma osmolality (U/P ratio > 1.0)?
CANHX_URINE_SODIUM,num,3,,Hepatorenal syndrome - urine sodium <10 mEq/ml?
CANHX_URINE_VOL,num,3,,Hepatorenal syndrome - urine volume < 500 ml/d?
CAN_LISTING_CTR_ID,num,4,,CAN_LISTING_ Center ID
PX_ID,num,8,,"Patient Identifier - from WL for A & R Cands,TCR for L Cands"
WL_ORG,char,4,$WLORG,Organ of this waitlisted record
