0,0: 0 
1,1: 1 
2,2: 2 
3,3: 3 
4,4: 4 
5,5: 5 
6,6: 6 
7,7: 7 
8,8: 8 
9,9: 9 
10,10: 10 
11,11: 11 
12,12: 12 
13,13: 13 
14,14: 14 
15,15: 15 
16,16: 16 
17,17: 17 
18,18: 18 
97,97: Unknown 
98,98: No second antigen detected 
99,99: Not Tested 
101,101: 0101 
102,102: 0102 
103,103: 103 
301,301: 0301 
302,302: 0302 
401,401: 0401 
402,402: 0402 
403,403: 0403 
404,404: 0404 
405,405: 0405 
407,407: 0407 
901,901: 0901 
902,902: 0902 
1101,1101: 1101 
1104,1104: 1104 
1201,1201: 1201 
1202,1202: 1202 
1301,1301: 1301 
1303,1303: 1303 
1401,1401: 1401 
1402,1402: 1402 
1403,1403: 1403 
1404,1404: 1404 
1454,1454: 1454 
1501,1501: 1501 
1502,1502: 1502 
1503,1503: 1503 
1601,1601: 1601 
1602,1602: 1602 
